pattern,support,sequences
"[8, 8, 17, 17, 17]",9,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
"[20, 20, 9, 9, 9]",4,"[0, 3, 5, 8]"
"[15, 15, 15, 15, 7]",6,"[1, 4, 5, 6, 7, 9]"
"[14, 14, 14, 14, 11]",4,"[0, 5, 8, 9]"
"[14, 13, 13, 13, 13]",6,"[2, 4, 5, 6, 8, 9]"
"[6, 6, 6, 24, 24]",5,"[1, 4, 5, 8, 9]"
"[15, 15, 15, 15, 6]",4,"[0, 3, 6, 9]"
"[24, 24, 6, 6, 6]",4,"[2, 3, 7, 9]"
"[22, 11, 11, 11, 11]",3,"[2, 5, 9]"
"[0, 0, 22, 22, 22]",4,"[3, 4, 5, 7]"
"[2, 16, 16, 16, 16]",4,"[1, 2, 3, 4]"
"[11, 11, 11, 11, 22]",7,"[0, 1, 2, 4, 5, 8, 9]"
"[16, 16, 16, 16, 2]",3,"[2, 4, 5]"
"[15, 15, 12, 12, 12]",3,"[3, 4, 7]"
"[6, 6, 18, 18, 18]",6,"[0, 1, 5, 6, 8, 9]"
"[15, 15, 15, 15, 5]",4,"[4, 6, 7, 9]"
"[13, 13, 13, 13, 13]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[17, 12, 12, 12, 12]",7,"[0, 1, 5, 6, 7, 8, 9]"
"[25, 25, 5, 5, 5]",3,"[5, 7, 9]"
"[15, 15, 15, 15, 4]",3,"[0, 5, 7]"
"[14, 14, 14, 11, 11]",4,"[0, 5, 8, 9]"
"[0, 16, 16, 16, 16]",6,"[0, 2, 3, 6, 7, 9]"
"[12, 13, 13, 13, 13]",4,"[0, 3, 5, 8]"
"[13, 13, 13, 13, 12]",5,"[0, 1, 3, 4, 8]"
"[6, 6, 6, 23, 23]",4,"[0, 1, 4, 8]"
"[18, 18, 18, 5, 5]",5,"[4, 5, 7, 8, 9]"
"[16, 16, 16, 16, 0]",4,"[2, 4, 5, 8]"
"[23, 23, 6, 6, 6]",3,"[1, 6, 9]"
"[8, 8, 16, 16, 16]",6,"[0, 2, 4, 5, 7, 8]"
"[14, 14, 14, 14, 8]",5,"[1, 4, 5, 8, 9]"
"[11, 11, 11, 11, 20]",5,"[0, 2, 7, 8, 9]"
"[10, 10, 10, 17, 17]",3,"[0, 6, 8]"
"[5, 5, 5, 24, 24]",3,"[0, 5, 9]"
"[3, 3, 19, 19, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[3, 15, 15, 15, 15]",3,"[2, 4, 7]"
"[15, 15, 15, 15, 3]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[24, 24, 5, 5, 5]",7,"[0, 2, 4, 5, 6, 8, 9]"
"[13, 13, 13, 13, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[15, 12, 12, 12, 12]",3,"[3, 4, 7]"
"[13, 13, 13, 12, 12]",5,"[0, 1, 3, 4, 8]"
"[14, 14, 14, 14, 7]",9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[7, 14, 14, 14, 14]",9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
"[17, 17, 17, 6, 6]",4,"[4, 5, 8, 9]"
"[12, 12, 13, 13, 13]",4,"[0, 3, 5, 8]"
"[11, 13, 13, 13, 13]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[19, 19, 19, 3, 3]",7,"[0, 1, 2, 4, 5, 7, 9]"
"[19, 19, 8, 8, 8]",8,"[0, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 12, 12, 12]",5,"[0, 1, 3, 4, 8]"
"[22, 22, 6, 6, 6]",4,"[1, 4, 8, 9]"
"[12, 12, 12, 13, 13]",4,"[0, 3, 5, 8]"
"[14, 14, 14, 14, 6]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[13, 13, 13, 13, 10]",6,"[1, 3, 4, 5, 6, 8]"
"[6, 14, 14, 14, 14]",8,"[0, 2, 4, 5, 6, 7, 8, 9]"
"[10, 13, 13, 13, 13]",5,"[0, 1, 4, 5, 8]"
"[18, 18, 18, 4, 4]",5,"[1, 6, 7, 8, 9]"
"[8, 8, 8, 19, 19]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[15, 15, 15, 15, 2]",3,"[5, 7, 9]"
"[6, 6, 6, 22, 22]",3,"[3, 6, 7]"
"[5, 5, 17, 17, 17]",4,"[0, 1, 8, 9]"
"[11, 11, 13, 13, 13]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[13, 13, 13, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[11, 11, 11, 11, 17]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[15, 15, 15, 8, 8]",7,"[1, 3, 4, 5, 6, 8, 9]"
"[17, 17, 9, 9, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[19, 19, 19, 2, 2]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[2, 2, 19, 19, 19]",6,"[1, 2, 4, 5, 8, 9]"
"[3, 3, 3, 26, 26]",3,"[0, 8, 9]"
"[12, 12, 12, 12, 13]",4,"[0, 3, 5, 8]"
"[17, 11, 11, 11, 11]",6,"[0, 2, 5, 6, 8, 9]"
"[9, 9, 9, 17, 17]",5,"[0, 1, 6, 8, 9]"
"[1, 15, 15, 15, 15]",3,"[0, 3, 6]"
"[13, 13, 13, 13, 9]",4,"[0, 1, 5, 8]"
"[14, 14, 11, 11, 11]",4,"[0, 5, 8, 9]"
"[26, 26, 3, 3, 3]",3,"[0, 5, 9]"
"[13, 12, 12, 12, 12]",5,"[0, 1, 3, 4, 8]"
"[15, 15, 15, 15, 0]",3,"[4, 7, 9]"
"[8, 8, 8, 8, 28]",3,"[4, 5, 9]"
"[0, 15, 15, 15, 15]",7,"[1, 2, 4, 5, 6, 7, 9]"
"[3, 3, 18, 18, 18]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[16, 16, 16, 6, 6]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[8, 13, 13, 13, 13]",3,"[3, 4, 5]"
"[4, 14, 14, 14, 14]",3,"[4, 5, 8]"
"[13, 13, 13, 13, 8]",5,"[0, 2, 5, 8, 9]"
"[12, 12, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[18, 18, 8, 8, 8]",6,"[0, 1, 2, 5, 7, 9]"
"[18, 18, 18, 3, 3]",6,"[2, 3, 5, 7, 8, 9]"
"[11, 12, 12, 12, 12]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[13, 13, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[10, 10, 13, 13, 13]",5,"[0, 1, 4, 5, 8]"
"[14, 14, 14, 14, 3]",4,"[3, 4, 6, 7]"
"[3, 3, 3, 25, 25]",4,"[1, 5, 7, 9]"
"[12, 12, 12, 12, 11]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[13, 13, 13, 13, 7]",4,"[0, 5, 6, 8]"
"[19, 19, 19, 1, 1]",4,"[0, 3, 4, 7]"
"[15, 15, 15, 7, 7]",6,"[1, 4, 5, 6, 7, 9]"
"[11, 11, 11, 13, 13]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[3, 14, 14, 14, 14]",4,"[5, 6, 8, 9]"
"[13, 13, 13, 10, 10]",6,"[1, 3, 4, 5, 6, 8]"
"[6, 13, 13, 13, 13]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[11, 11, 12, 12, 12]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[23, 23, 4, 4, 4]",4,"[1, 4, 8, 9]"
"[12, 12, 12, 12, 10]",4,"[0, 1, 4, 5]"
"[12, 12, 12, 11, 11]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[20, 20, 6, 6, 6]",3,"[7, 8, 9]"
"[14, 14, 14, 14, 2]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[8, 8, 8, 17, 17]",9,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
"[17, 17, 8, 8, 8]",3,"[5, 8, 9]"
"[13, 13, 13, 13, 6]",6,"[0, 1, 4, 6, 7, 8]"
"[2, 14, 14, 14, 14]",6,"[0, 1, 2, 4, 7, 9]"
"[14, 14, 14, 8, 8]",5,"[1, 4, 5, 8, 9]"
"[4, 4, 4, 23, 23]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[14, 11, 11, 11, 11]",4,"[0, 5, 8, 9]"
"[19, 19, 19, 0, 0]",4,"[0, 2, 3, 9]"
"[1, 14, 14, 14, 14]",5,"[0, 1, 4, 5, 7]"
"[24, 24, 3, 3, 3]",5,"[3, 4, 5, 6, 7]"
"[13, 13, 13, 9, 9]",4,"[0, 1, 5, 8]"
"[15, 15, 15, 6, 6]",4,"[0, 3, 6, 9]"
"[0, 0, 19, 19, 19]",8,"[1, 2, 3, 4, 5, 6, 7, 9]"
"[13, 11, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[17, 17, 17, 3, 3]",3,"[6, 7, 8]"
"[18, 18, 7, 7, 7]",6,"[0, 3, 4, 5, 7, 8]"
"[10, 10, 10, 10, 17]",3,"[0, 6, 8]"
"[3, 3, 17, 17, 17]",8,"[0, 1, 2, 4, 5, 6, 8, 9]"
"[14, 14, 14, 14, 1]",5,"[0, 1, 5, 7, 8]"
"[12, 12, 11, 11, 11]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[11, 11, 11, 12, 12]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[9, 12, 12, 12, 12]",7,"[0, 2, 3, 5, 6, 8, 9]"
"[11, 11, 11, 11, 13]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[13, 13, 13, 13, 5]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[1, 1, 18, 18, 18]",4,"[1, 3, 5, 9]"
"[8, 8, 8, 16, 16]",6,"[0, 2, 4, 5, 7, 8]"
"[12, 11, 11, 11, 11]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[11, 11, 11, 11, 12]",7,"[0, 1, 2, 3, 4, 5, 8]"
"[22, 22, 4, 4, 4]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[20, 9, 9, 9, 9]",4,"[0, 3, 5, 8]"
"[12, 12, 12, 12, 8]",3,"[3, 4, 9]"
"[0, 14, 14, 14, 14]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[7, 7, 14, 14, 14]",9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
"[13, 13, 10, 10, 10]",6,"[1, 3, 4, 5, 6, 8]"
"[14, 14, 14, 14, 0]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[13, 13, 13, 13, 4]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[14, 14, 14, 7, 7]",9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[10, 10, 10, 13, 13]",5,"[0, 1, 4, 5, 8]"
"[8, 12, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 10, 10]",4,"[0, 1, 4, 5]"
"[3, 13, 13, 13, 13]",4,"[0, 3, 5, 7]"
"[3, 3, 3, 23, 23]",3,"[3, 6, 8]"
"[13, 13, 13, 13, 3]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 5, 5]",4,"[4, 6, 7, 9]"
"[7, 12, 12, 12, 12]",3,"[1, 5, 6]"
"[13, 13, 13, 8, 8]",5,"[0, 2, 5, 8, 9]"
"[12, 12, 12, 12, 7]",4,"[5, 6, 7, 8]"
"[8, 8, 13, 13, 13]",3,"[3, 4, 5]"
"[17, 17, 17, 2, 2]",4,"[0, 2, 5, 8]"
"[11, 11, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 10, 10, 10]",4,"[0, 1, 4, 5]"
"[6, 6, 6, 18, 18]",6,"[0, 1, 5, 6, 8, 9]"
"[12, 12, 12, 12, 6]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[16, 16, 16, 3, 3]",3,"[1, 5, 7]"
"[13, 13, 13, 13, 2]",6,"[0, 4, 5, 6, 8, 9]"
"[6, 6, 14, 14, 14]",8,"[0, 2, 4, 5, 6, 7, 8, 9]"
"[14, 14, 14, 6, 6]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[15, 15, 8, 8, 8]",7,"[1, 3, 4, 5, 6, 8, 9]"
"[9, 9, 12, 12, 12]",7,"[0, 2, 3, 5, 6, 8, 9]"
"[18, 18, 18, 0, 0]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[2, 13, 13, 13, 13]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[11, 11, 11, 11, 10]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[10, 11, 11, 11, 11]",3,"[5, 8, 9]"
"[0, 0, 18, 18, 18]",7,"[0, 2, 3, 4, 5, 7, 9]"
"[3, 3, 16, 16, 16]",5,"[2, 4, 6, 7, 9]"
"[5, 12, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 13, 13, 1]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 10, 10, 10, 10]",6,"[1, 3, 4, 5, 6, 8]"
"[1, 1, 17, 17, 17]",4,"[0, 6, 8, 9]"
"[10, 10, 11, 11, 11]",3,"[5, 8, 9]"
"[17, 17, 17, 1, 1]",8,"[0, 1, 3, 4, 5, 6, 8, 9]"
"[13, 13, 13, 7, 7]",4,"[0, 5, 6, 8]"
"[11, 11, 11, 10, 10]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[17, 9, 9, 9, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 9, 9, 9]",4,"[0, 1, 5, 8]"
"[9, 9, 9, 9, 17]",5,"[0, 1, 6, 8, 9]"
"[1, 13, 13, 13, 13]",6,"[0, 1, 4, 5, 6, 8]"
"[12, 12, 12, 12, 5]",9,"[0, 1, 3, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 4, 4]",3,"[0, 5, 7]"
"[9, 11, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[10, 10, 10, 10, 13]",5,"[0, 1, 4, 5, 8]"
"[11, 11, 11, 11, 9]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[17, 17, 6, 6, 6]",4,"[4, 5, 8, 9]"
"[23, 23, 2, 2, 2]",8,"[0, 1, 2, 3, 4, 5, 8, 9]"
"[4, 12, 12, 12, 12]",7,"[0, 1, 3, 4, 5, 6, 7]"
"[10, 10, 10, 11, 11]",3,"[5, 8, 9]"
"[13, 13, 13, 13, 0]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 8, 8]",3,"[3, 4, 9]"
"[8, 11, 11, 11, 11]",7,"[0, 1, 2, 3, 6, 8, 9]"
"[8, 8, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[2, 2, 16, 16, 16]",4,"[1, 2, 3, 4]"
"[16, 16, 16, 2, 2]",3,"[2, 4, 5]"
"[0, 13, 13, 13, 13]",9,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
"[14, 14, 8, 8, 8]",5,"[1, 4, 5, 8, 9]"
"[11, 11, 10, 10, 10]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[12, 10, 10, 10, 10]",4,"[0, 1, 4, 5]"
"[12, 12, 12, 12, 4]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[19, 8, 8, 8, 8]",8,"[0, 3, 4, 5, 6, 7, 8, 9]"
"[18, 18, 5, 5, 5]",5,"[4, 5, 7, 8, 9]"
"[17, 17, 17, 0, 0]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[9, 9, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[10, 10, 10, 10, 11]",3,"[5, 8, 9]"
"[11, 11, 11, 11, 7]",8,"[2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 13, 6, 6]",6,"[0, 1, 4, 6, 7, 8]"
"[11, 11, 11, 9, 9]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[3, 12, 12, 12, 12]",8,"[0, 1, 2, 3, 4, 5, 7, 8]"
"[11, 10, 10, 10, 10]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 3, 3]",8,"[0, 1, 4, 5, 6, 7, 8, 9]"
"[9, 9, 9, 12, 12]",7,"[0, 2, 3, 5, 6, 8, 9]"
"[0, 0, 17, 17, 17]",5,"[0, 6, 7, 8, 9]"
"[8, 8, 8, 8, 19]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[24, 24, 1, 1, 1]",5,"[0, 4, 5, 8, 9]"
"[3, 3, 15, 15, 15]",3,"[2, 4, 7]"
"[6, 6, 13, 13, 13]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 12, 3]",3,"[3, 5, 7]"
"[15, 15, 7, 7, 7]",6,"[1, 4, 5, 6, 7, 9]"
"[10, 10, 10, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[18, 8, 8, 8, 8]",6,"[0, 1, 2, 5, 7, 9]"
"[2, 12, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[7, 7, 12, 12, 12]",3,"[1, 5, 6]"
"[12, 12, 12, 7, 7]",4,"[5, 6, 7, 8]"
"[4, 4, 14, 14, 14]",3,"[4, 5, 8]"
"[13, 13, 8, 8, 8]",5,"[0, 2, 5, 8, 9]"
"[0, 0, 0, 25, 25]",3,"[0, 5, 7]"
"[11, 11, 11, 11, 6]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[8, 8, 8, 13, 13]",3,"[3, 4, 5]"
"[16, 16, 6, 6, 6]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[6, 11, 11, 11, 11]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[12, 12, 12, 12, 2]",6,"[1, 2, 4, 5, 6, 7]"
"[1, 1, 1, 23, 23]",6,"[0, 1, 4, 5, 8, 9]"
"[7, 7, 7, 14, 14]",9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
"[17, 8, 8, 8, 8]",3,"[5, 8, 9]"
"[10, 10, 10, 10, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 9, 9, 9, 9]",4,"[0, 1, 5, 8]"
"[1, 12, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 12, 1]",9,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
"[15, 15, 15, 2, 2]",3,"[5, 7, 9]"
"[11, 11, 11, 11, 5]",7,"[0, 1, 3, 4, 5, 6, 8]"
"[5, 5, 5, 17, 17]",4,"[0, 1, 8, 9]"
"[8, 8, 11, 11, 11]",7,"[0, 1, 2, 3, 6, 8, 9]"
"[8, 8, 8, 8, 17]",9,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
"[9, 10, 10, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[5, 11, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[14, 14, 7, 7, 7]",9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 13, 5, 5]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[23, 23, 1, 1, 1]",4,"[1, 4, 7, 9]"
"[9, 9, 9, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[11, 11, 9, 9, 9]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[0, 12, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[24, 24, 0, 0, 0]",6,"[2, 4, 5, 7, 8, 9]"
"[15, 15, 6, 6, 6]",4,"[0, 3, 6, 9]"
"[9, 9, 9, 9, 12]",7,"[0, 2, 3, 5, 6, 8, 9]"
"[12, 12, 12, 12, 0]",8,"[0, 1, 2, 3, 4, 5, 6, 7]"
"[11, 11, 11, 11, 4]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 8, 8, 8]",3,"[3, 4, 9]"
"[14, 14, 14, 3, 3]",4,"[3, 4, 6, 7]"
"[10, 10, 10, 10, 8]",3,"[1, 5, 6]"
"[10, 10, 10, 9, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 6, 6]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[24, 6, 6, 6, 6]",4,"[2, 3, 7, 9]"
"[4, 11, 11, 11, 11]",9,"[0, 1, 2, 3, 4, 5, 6, 8, 9]"
"[3, 3, 14, 14, 14]",4,"[5, 6, 8, 9]"
"[8, 8, 8, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[9, 9, 10, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[18, 18, 4, 4, 4]",5,"[1, 6, 7, 8, 9]"
"[6, 6, 6, 6, 24]",5,"[1, 4, 5, 8, 9]"
"[0, 0, 0, 24, 24]",6,"[1, 2, 4, 6, 7, 8]"
"[0, 0, 16, 16, 16]",5,"[0, 3, 6, 7, 9]"
"[16, 16, 16, 0, 0]",4,"[2, 4, 5, 8]"
"[8, 10, 10, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[8, 8, 8, 8, 16]",6,"[0, 2, 4, 5, 7, 8]"
"[11, 11, 11, 11, 3]",3,"[0, 5, 6]"
"[9, 9, 9, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[7, 10, 10, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 7, 7, 7]",4,"[0, 5, 6, 8]"
"[6, 6, 6, 6, 23]",4,"[0, 1, 4, 8]"
"[10, 10, 10, 10, 7]",7,"[1, 2, 3, 4, 5, 6, 8]"
"[23, 6, 6, 6, 6]",3,"[1, 6, 9]"
"[3, 3, 3, 19, 19]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[11, 11, 11, 7, 7]",8,"[2, 3, 4, 5, 6, 7, 8, 9]"
"[10, 10, 9, 9, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[1, 1, 15, 15, 15]",3,"[0, 3, 6]"
"[11, 9, 9, 9, 9]",7,"[0, 1, 4, 5, 6, 8, 9]"
"[19, 19, 3, 3, 3]",7,"[0, 1, 2, 4, 5, 7, 9]"
"[9, 9, 9, 9, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[22, 22, 1, 1, 1]",4,"[1, 4, 5, 6]"
"[13, 13, 13, 4, 4]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[3, 11, 11, 11, 11]",6,"[0, 2, 3, 5, 6, 8]"
"[15, 8, 8, 8, 8]",7,"[1, 3, 4, 5, 6, 8, 9]"
"[14, 14, 14, 2, 2]",8,"[0, 1, 2, 4, 5, 7, 8, 9]"
"[6, 6, 6, 14, 14]",8,"[0, 2, 4, 5, 6, 7, 8, 9]"
"[14, 8, 8, 8, 8]",5,"[1, 4, 5, 8, 9]"
"[11, 11, 11, 11, 2]",4,"[0, 4, 5, 8]"
"[0, 0, 0, 23, 23]",7,"[0, 1, 3, 4, 5, 8, 9]"
"[18, 7, 7, 7, 7]",6,"[0, 3, 4, 5, 7, 8]"
"[2, 11, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[9, 9, 9, 9, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[10, 10, 10, 10, 6]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[6, 6, 6, 6, 22]",3,"[3, 6, 7]"
"[2, 2, 14, 14, 14]",6,"[0, 1, 2, 4, 7, 9]"
"[8, 8, 10, 10, 10]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 12, 5, 5]",9,"[0, 1, 3, 4, 5, 6, 7, 8, 9]"
"[23, 23, 0, 0, 0]",5,"[0, 1, 4, 6, 8]"
"[10, 9, 9, 9, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[22, 6, 6, 6, 6]",4,"[1, 4, 8, 9]"
"[10, 10, 10, 8, 8]",3,"[1, 5, 6]"
"[5, 5, 12, 12, 12]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[6, 10, 10, 10, 10]",6,"[1, 4, 5, 6, 8, 9]"
"[8, 8, 8, 11, 11]",7,"[0, 1, 2, 3, 6, 8, 9]"
"[14, 14, 6, 6, 6]",7,"[0, 2, 4, 5, 7, 8, 9]"
"[15, 15, 15, 0, 0]",3,"[4, 7, 9]"
"[7, 7, 7, 12, 12]",3,"[1, 5, 6]"
"[11, 11, 11, 11, 1]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[5, 10, 10, 10, 10]",8,"[0, 1, 3, 4, 5, 6, 7, 8]"
"[3, 3, 3, 18, 18]",9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]"
"[11, 11, 11, 6, 6]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[13, 13, 13, 3, 3]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[12, 12, 7, 7, 7]",4,"[5, 6, 7, 8]"
"[10, 10, 10, 10, 5]",7,"[0, 3, 4, 5, 6, 8, 9]"
"[15, 15, 5, 5, 5]",4,"[4, 6, 7, 9]"
"[13, 8, 8, 8, 8]",5,"[0, 2, 5, 8, 9]"
"[9, 9, 9, 9, 9]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[3, 3, 13, 13, 13]",4,"[0, 3, 5, 7]"
"[0, 0, 15, 15, 15]",7,"[1, 2, 4, 5, 6, 7, 9]"
"[18, 18, 3, 3, 3]",6,"[2, 3, 5, 7, 8, 9]"
"[8, 8, 8, 8, 13]",3,"[3, 4, 5]"
"[1, 11, 11, 11, 11]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[6, 6, 11, 11, 11]",7,"[0, 1, 4, 5, 7, 8, 9]"
"[25, 5, 5, 5, 5]",3,"[5, 7, 9]"
"[9, 9, 9, 9, 8]",5,"[0, 2, 3, 4, 5]"
"[19, 19, 2, 2, 2]",9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"[1, 1, 14, 14, 14]",5,"[0, 1, 4, 5, 7]"
"[2, 2, 2, 19, 19]",6,"[1, 2, 4, 5, 8, 9]"
"[10, 10, 8, 8, 8]",3,"[1, 5, 6]"
"[10, 10, 10, 10, 4]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"[5, 5, 5, 5, 24]",3,"[0, 5, 9]"
"[12, 8, 8, 8, 8]",3,"[3, 4, 9]"
"[12, 12, 12, 4, 4]",10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
